Model,Publication date,Organization,Domain,Task,log_parameters
Transformer-XL + AutoDropout (PTB),2021-01-05,Google Research,Language,Language modeling,7.380211241711606
Subformer (122M),2021-01-01,"National Institute of Advanced Industrial Science and Technology (AIST),University of Tokyo",Language,Language modeling,8.086359830674748
Subformer (83M),2021-01-01,"University of Tokyo,National Institute of Advanced Industrial Science and Technology (AIST)",Language,"Language modeling/generation,Translation",7.919078092376074
Subformer (96M),2021-01-01,"University of Tokyo,National Institute of Advanced Industrial Science and Technology (AIST)",Language,"Language modeling,Text summarization,Translation",7.982271233039568
AraGPT2-Mega,2020-12-31,American University of Beirut,Language,"Language modeling/generation,Question answering",9.176091259055681
Shortformer,2020-12-31,"University of Washington,Facebook AI Research,Allen Institute for AI",Language,Language modeling,8.392696953259666
ERNIE-Doc (247M),2020-12-31,Baidu,Language,"Language modeling,Language modeling/generation",8.392696953259666
"ERNIE-Doc Base (151M, WT103)",2020-12-31,Baidu,Language,"Language modeling,Language modeling/generation",8.178976947293169
CT-MoS (WT2),2020-12-25,"Google,National Tsing Hua University",Language,Language modeling,7.653212513775344
CT-MoS + DynamicEval (WT2),2020-12-25,"National Tsing Hua University,Google",Language,Language modeling,7.653212513775344
CT-MoS (PTB),2020-12-25,"National Tsing Hua University,Google",Language,Language modeling,7.380211241711606
CT-MoS + DynamicEval (PTB),2020-12-25,"National Tsing Hua University,Google",Language,Language modeling,7.380211241711606
DensePhrases,2020-12-23,"Korea University,Princeton University",Language,Question answering,
RaSoR,2020-12-23,"Korea University,Princeton University",Language,Question answering,
VQGAN + CLIP,2020-12-17,Heidelberg University,Image generation,Text-to-image,
ESM1b,2020-12-15,"Facebook AI Research,New York University (NYU)",Biology,"Proteins,Protein or nucleotide language model (pLM/nLM)",8.814513952368237
RoBERTa (PFAM),2020-12-05,"IBM Research,ETH Zurich",Biology,Protein or nucleotide language model (pLM/nLM),
OC-GAN (Visual Genome),2020-12-03,"Mila - Quebec AI (originally Montreal Institute for Learning Algorithms),University of Montreal / Université de Montréal,Microsoft Research,CIFAR AI Research",Image generation,Image generation,
OC-GAN (COCO-Stuff),2020-12-03,"Mila - Quebec AI (originally Montreal Institute for Learning Algorithms),University of Montreal / Université de Montréal,Microsoft Research,CIFAR AI Research",Image generation,Image generation,
CPM-Large,2020-12-01,"Tsinghua University,Beijing Academy of Artificial Intelligence / BAAI",Language,Language modeling,9.414973347970818
Profile Prediction,2020-12-01,"University of Washington,Salesforce Research",Biology,"Protein or nucleotide language model (pLM/nLM),Proteins",
AlphaFold 2,2020-11-30,DeepMind,Biology,"Protein folding prediction,Proteins",7.968482948553935
KEPLER,2020-11-23,"Tsinghua University,Mila - Quebec AI (originally Montreal Institute for Learning Algorithms),HEC,CIFAR AI Research,Princeton University,University of Montreal / Université de Montréal",Language,Relation extraction,8.096910013008056
AWD-FWM (WT2),2020-11-16,"IDSIA,Microsoft Research",Language,Language modeling,7.568201724066995
AWD-FWM (PTB),2020-11-16,"IDSIA,Microsoft Research",Language,Language modeling,7.380211241711606
Machine learning a model for RNA structure prediction,2020-11-16,"International School for Advanced Studies,Institute of Structural Biology,Technical University of Munich",Biology,RNA structure prediction,
CPCProt,2020-11-10,University of Toronto,Biology,Protein or nucleotide language model (pLM/nLM),6.230448921378274
HiPPO-LegS,2020-10-23,"Stanford University,University at Buffalo",Vision,Image classification,
ChemBERTa,2020-10-23,"University of Toronto,Reverie Labs,DeepChem",Biology,Molecular property prediction,8.096910013008056
ViT-Huge/14,2020-10-22,"Google Brain,Google Research",Vision,Image representation,8.800717078282386
wave2vec 2.0 LARGE,2020-10-22,Facebook,Speech,Speech completion,8.501059262217751
CryptoGRU,2020-10-22,Indiana University Bloomington,Language,Language modeling,
GBERT-Large,2020-10-21,"deepset,Bayerische Staatsbibliothek Muenchen",Language,"Document classification,Named entity recognition (NER)",8.525044807036846
German ELECTRA Large,2020-10-21,"deepset,Bayerische Staatsbibliothek Muenchen",Language,"Document classification,Named entity recognition (NER),Text classification",8.525044807036846
Conformer + Wav2vec 2.0 + Noisy Student,2020-10-20,"Google,Google Research,Google Brain",Speech,Speech recognition (ASR),9.0
mT5-XXL,2020-10-20,"Google,Google Research",Language,"Language modeling,Translation,Language modeling/generation,Question answering",10.113943352306837
TinyBert,2020-10-16,"Huazhong University of Science and Technology,Huawei Noah's Ark Lab,Huawei",Language,"Language modeling/generation,Question answering",7.826074802700826
Memformer (4 encoder + 16 decoder),2020-10-14,"UC Davis,Westlake University,Facebook AI",Language,Language modeling,7.8819549713396
LUKE,2020-10-02,"University of Washington,National Institute of Informatics",Language,"Question answering,Relation extraction,Named entity recognition (NER)",8.683947130751513
Frage-AWD-LSTM-MemoryAug-NeuralCache (PTB),2020-09-29,"Johns Hopkins University,Xiaomi Corp",Language,Language modeling,7.380211241711606
LSTM-MemoryAug (WT2),2020-09-29,"Johns Hopkins University,Xiaomi Corp",Language,Language modeling,7.45484486000851
LSTM-MemoryAug (PTB),2020-09-29,"Johns Hopkins University,Xiaomi Corp",Language,Language modeling,7.123851640967086
PAR Transformer Large,2020-09-09,NVIDIA,Language,Language modeling,
ProBERTa,2020-09-01,"University of Illinois Urbana-Champaign (UIUC),Reed College",Biology,"Proteins,Protein representation learning,Protein classification,Protein interaction prediction",7.643452676486188
ESM1-670M (UR50/S),2020-08-31,"Facebook AI Research,New York University (NYU)",Biology,"Proteins,Protein or nucleotide language model (pLM/nLM),Mutation prediction,Protein contact and distance prediction",8.825555932290357
ESM1-670M (UR50/D),2020-08-31,"Facebook AI Research,New York University (NYU)",Biology,"Proteins,Protein or nucleotide language model (pLM/nLM)",8.825555932290357
ESM1-670M (UR100),2020-08-31,"Facebook AI Research,New York University (NYU)",Biology,"Proteins,Protein or nucleotide language model (pLM/nLM)",8.825555932290357
ESM1-85M,2020-08-31,"Facebook AI Research,New York University (NYU)",Biology,"Proteins,Protein or nucleotide language model (pLM/nLM)",7.929929560084588
ESM1-43M,2020-08-31,"Facebook AI Research,New York University (NYU)",Biology,"Proteins,Protein or nucleotide language model (pLM/nLM)",7.629409599102719
Transformer+Recurrent Windows of Context,2020-08-16,"Toyota Technological Institute at Chicago,University of Chicago",Language,Language modeling,8.093421685162236
ERNIE-GEN (large),2020-08-06,Baidu,Language,"Language modeling,Language modeling/generation,Text summarization,Chat",8.531478917042255
DeLighT,2020-08-03,"University of Washington,Allen Institute for AI,Facebook AI Research",Language,"Language modeling,Translation",7.99563519459755
mBART-50,2020-08-02,Facebook AI,Language,Translation,8.785329835010767
Grown to Prune Two-layer stacked LSTM,2020-07-30,"University of Chicago,Toyota Technological Institute at Chicago",Language,Language modeling,
TransformerXL-LayerFusion-CA,2020-07-29,"University of Liverpool,University of Southern California",Language,Language modeling,
GPT2-LayerFusion-WS,2020-07-29,"University of Liverpool,University of Southern California",Language,Language modeling,
Hopfield Networks (2020),2020-07-16,"Johannes Kepler University Linz,Institute of Advanced Research in Artificial Intelligence,University of Oslo","Biology,Vision,Language,Medicine","Drug discovery,Language modeling,Object recognition,Cancer diagnosis",
SemExp,2020-07-02,"Carnegie Mellon University (CMU),Facebook AI Research",Robotics,Object detection,
DLRM-2021,2020-07-01,Meta AI,Recommendation,Recommender system,12.0
GShard (dense),2020-06-30,Google,Language,Translation,9.361727836017593
GShard (600B),2020-06-30,Google,Language,Translation,11.778151250383644
GPT-3 6.7B,2020-06-22,OpenAI,Language,"Text autocompletion,Language modeling/generation",9.823474229170301
GPT-3 XL,2020-06-22,OpenAI,Language,"Text autocompletion,Language modeling/generation",9.12057393120585
GPT-3 Small,2020-06-22,OpenAI,Language,"Text autocompletion,Language modeling/generation",8.096910013008056
GPT-3 Medium,2020-06-22,OpenAI,Language,"Text autocompletion,Language modeling/generation",8.551449997972876
GPT-3 Large,2020-06-22,OpenAI,Language,"Text autocompletion,Language modeling/generation",8.880813592280791
GPT-3 2.7B,2020-06-22,OpenAI,Language,"Text autocompletion,Language modeling/generation",9.423245873936807
GPT-3 13B,2020-06-22,OpenAI,Language,"Text autocompletion,Language modeling/generation",10.108903127667313
iGPT-XL,2020-06-17,OpenAI,"Vision,Image generation",Image completion,9.832572774846179
iGPT-L,2020-06-17,OpenAI,"Image generation,Vision",Image completion,9.134177107576766
6-Layer-Tensor-Transformer+AdaHessian,2020-06-01,"NERSC, Lawrence Berkeley National Laboratory,University of California (UC) Berkeley",Language,Language modeling,7.931966114728173
3-Layer-Tensor-Transformer+AdaHessian,2020-06-01,"University of California (UC) Berkeley,NERSC, Lawrence Berkeley National Laboratory",Language,"Language modeling,Translation",
GPT-3 175B (davinci),2020-05-28,OpenAI,Language,"Text autocompletion,Language modeling/generation",11.242044239369552
GPT3-6.7B (rerun of original),2020-05-28,"Microsoft,OpenAI",Language,Language modeling/generation,9.826074802700827
DETR,2020-05-26,Facebook,Vision,Object detection,7.778151250383644
Retrieval-Augmented Generator,2020-05-22,"Facebook,New York University (NYU),University College London (UCL)",Language,"Question answering,Retrieval-augmented generation",8.79657433321043
rTop-k(distributed setting),2020-05-21,Stanford University,Language,Language modeling,7.838849090737256
Specter,2020-05-20,"Allen Institute for AI,University of Washington",Language,Document representation,8.041392685158225
Conformer,2020-05-16,Google,Speech,Speech recognition (ASR),8.074816440645174
ONLSTM-SYD,2020-05-12,"Westlake University,Institute for Advanced Study,McGill University,Mila - Quebec AI (originally Montreal Institute for Learning Algorithms),CIFAR AI Research,University of Montreal / Université de Montréal",Language,Language modeling,7.3979400086720375
ContextNet,2020-05-07,Google,Speech,Speech recognition (ASR),8.051923916046107
NAS+ESS (156M),2020-05-06,"Northeastern University (China),Chinese Academy of Sciences,NiuTrans Research,Kingsoft",Language,"Neural Architecture Search - NAS,Language modeling",8.193124598354462
NAS+ESS (23M),2020-05-06,"Northeastern University (China),NiuTrans Research,Kingsoft",Language,"Neural Architecture Search - NAS,Language modeling",7.361727836017593
UnifiedQA,2020-05-02,"Allen Institute for AI,University of Washington",Language,Question answering,10.041392685158225
"Segatron XL large, M=384",2020-04-30,"University of Waterloo,Peking University,RSVP.ai",Language,Language modeling,8.409933123331294
"Segatron XL base, M=384",2020-04-30,"University of Waterloo,RSVP.ai,Peking University",Language,Language modeling,8.409933123331294
Once for All,2020-04-29,"MIT-IBM Watson AI Lab,Massachusetts Institute of Technology (MIT),IBM",Vision,Image classification,6.886490725172482
Go-explore,2020-04-27,"Uber AI,OpenAI",Games,Atari,
Cube-Space AutoEncoder,2020-04-27,MIT-IBM Watson AI Lab,"Vision,Search",Visual puzzles,
DiffStk-MRNN,2020-04-04,"Pennsylvania State University,Rochester Institute of Technology",Language,Language modeling,6.004321373782642
Agent57,2020-03-30,DeepMind,Games,Atari,
AraBERT,2020-03-30,American University of Beirut,Language,"Language modeling/generation,Question answering",8.041392685158225
AraBERT LArge v2,2020-03-30,American University of Beirut,Language,"Language modeling/generation,Question answering",8.569373909615045
MetNet,2020-03-24,Google,Earth science,Weather forecasting,8.352182518111363
ELECTRA,2020-03-23,"Stanford University,Google,Google Brain",Language,Text autocompletion,8.525044807036846
Tensor-Transformer(1core)+PN (WT103),2020-03-17,University of California (UC) Berkeley,Language,Language modeling,7.930949031167523
Tensor-Transformer(1core)+PN (PTB),2020-03-17,University of California (UC) Berkeley,Language,"Language modeling,Translation",
WDC20 / DLWP,2020-03-15,"University of Washington,Microsoft Research",Earth science,Weather forecasting,5.827420971700622
ProGen,2020-03-13,"Salesforce Research,Stanford University",Biology,"Protein generation,Proteins,Protein or nucleotide language model (pLM/nLM)",9.079181246047625
Routing Transformer (WT-103),2020-03-12,Google Research,Language,Language modeling,7.9003671286564705
Local Transformer (WT103),2020-03-12,Google Research,Language,Language modeling,
TransformerXL + spectrum control,2020-03-11,"University of California Los Angeles (UCLA),JD.com",Language,Language modeling,8.178976947293169
MuPIPR,2020-03-05,"University of California Los Angeles (UCLA),University of Pennsylvania",Biology,Protein interaction prediction,
LSTM-3-layer+Gadam,2020-03-02,"University of Oxford,University of Bristol,University of Cambridge",Language,Language modeling,7.380211241711606
TCAN (WT2),2020-02-28,"Nanjing University,Ant Group",Language,Language modeling,7.518513939877887
TCAN (PTB),2020-02-28,Ant Group,Language,Language modeling,7.113943352306837
Feedback Transformer,2020-02-21,"LORIA,University of Lorraine,Facebook AI Research",Language,Language modeling,8.100370545117563
FFN SwiGLU,2020-02-14,Google,Language,"Language modeling,Question answering",8.342422680822207
Turing-NLG,2020-02-13,Microsoft,Language,"Text autocompletion,Language generation,Text summarization",10.230448921378274
ALBERT-xxlarge,2020-02-09,"Toyota Technological Institute at Chicago,Google",Language,"Language modeling/generation,Question answering",8.371067862271737
Perceiver IO (optical flow),2020-02-08,DeepMind,"Multimodal,Language,Vision","Language modeling/generation,Image captioning",7.445604203273597
TaLK Convolution,2020-02-08,Carleton University,Language,"Language modeling,Translation,Text summarization",8.380211241711606
Theseus 6/768,2020-02-07,"University of California San Diego,Beihang University,Microsoft",Language,Text autocompletion,7.819543935541868
Meena,2020-01-28,Google Brain,Language,"Text autocompletion,Chat",9.414973347970818
ContextNet + Noisy Student,2020-01-19,Google,Speech,Speech recognition (ASR),
AlphaFold,2020-01-15,DeepMind,Biology,"Protein folding prediction,Proteins",7.21327437765467
Big Transfer (BiT-M),2019-12-24,Google Brain,Vision,Image classification,8.967547976218862
DD-PPO,2019-12-19,"Georgia Institute of Technology,Facebook AI Research,Oregon State University,Simon Fraser University",Robotics,Object detection,
SeqVec,2019-12-17,Technical University of Munich,Biology,Proteins,7.968482948553935
OpenAI Five,2019-12-13,OpenAI,Games,Dota 2,8.20139712432045
OpenAI Five Rerun,2019-12-13,OpenAI,Games,Dota 2,8.20139712432045
MMLSTM (WT-103),2019-12-05,"Beijing University of Posts and Telecommunications,University of West London",Language,Language modeling,7.8750612633917
MMLSTM (WT-2),2019-12-05,"Beijing University of Posts and Telecommunications,University of West London",Language,Language modeling,7.509202522331103
MMLSTM (PTB),2019-12-05,"Beijing University of Posts and Telecommunications,University of West London",Language,Language modeling,7.328379603438738
StarGAN v2,2019-12-04,"NAVER,Yonsei University,Swiss Federal Institute of Technology","Vision,Image generation","Image generation,Image-to-image",
StyleGAN2,2019-12-03,"NVIDIA,Aalto University",Image generation,Image generation,7.477121254719663
bRSM + cache,2019-12-02,"Numenta,Incubator 491",Language,Language modeling,6.4065401804339555
Transformer-XL DeFINE (141M),2019-11-27,"University of Washington,Allen Institute for AI",Language,Language modeling,8.14921911265538
Transformer-XL DeFINE (107M),2019-11-27,University of Washington,Language,"Language modeling,Translation",8.030882953109666
Adaptive LSTM + DeFINE,2019-11-27,University of Washington,Language,"Language modeling,Translation",7.6874397745458944
AWD-LSTM + DeFINE,2019-11-27,University of Washington,Language,"Language modeling,Translation",7.301029995663981
Photo-Geometric Autoencoder,2019-11-25,University of Oxford,"3D modeling,Vision",3D reconstruction,
FastSpeech,2019-11-20,"Zhejiang University (ZJU),Microsoft Research",Speech,Text-to-speech (TTS),7.478566495593843
MuZero,2019-11-19,DeepMind,Games,Atari,7.566602457407099
Transformer - LibriVox + Decoding/Rescoring,2019-11-19,Facebook,Speech,Speech recognition (ASR),8.471291711058939
Long-range sequence Compressive Transformers,2019-11-13,DeepMind,Language,Language modeling,
Noisy Student (L2),2019-11-11,"Carnegie Mellon University (CMU),Google",Vision,Image classification,8.681241237375588
Sandwich Transformer,2019-11-10,"Allen Institute for AI,Facebook AI Research",Language,Language modeling,8.320146286111054
CamemBERT,2019-11-10,"Facebook,INRIA,Sorbonne University",Language,"Language modeling/generation,Part-of-speech tagging,Named entity recognition (NER)",8.525044807036846
Self-Attention and Convolutional Layers,2019-11-08,Ecole Polytechnique F´ed´erale de Lausanne (EPFL),Vision,Image classification,7.469822015978163
XLM-RoBERTa,2019-11-05,Facebook AI,Language,"Named entity recognition (NER),Question answering,Text classification",8.740362689494244
Base LM + kNN LM + Continuous Cache,2019-11-01,"Stanford University,Facebook AI Research",Language,Language modeling,8.392696953259666
AlphaStar,2019-10-30,DeepMind,Games,StarCraft,8.143014800254095
BART-large,2019-10-29,Facebook AI,Language,"Language modeling/generation,Question answering",8.608837689540124
T5-3B,2019-10-23,Google,Language,Text autocompletion,9.44715803134222
T5-11B,2019-10-23,Google,Language,"Text autocompletion,Language modeling/generation",10.041392685158225
LSTM(large)+Sememe+cell,2019-10-20,"Tsinghua University,Beijing University of Posts and Telecommunications,Huawei Noah's Ark Lab",Language,Language modeling,7.681241237375588
LSTM(medium)+Sememe+cell (WT2),2019-10-20,"Tsinghua University,Beijing University of Posts and Telecommunications,Huawei Noah's Ark Lab",Language,Language modeling,7.380211241711606
RMSNorm (Transformer-base),2019-10-16,"University of Edinburgh,University of Zurich",Language,Translation,7.812913356642856
Rubik's cube ADR robot,2019-10-15,OpenAI,Robotics,Robotic manipulation,7.443569076740561
M4-50B,2019-10-11,Google,Language,Translation,10.698970004336019
AlphaX-1,2019-10-02,"Facebook AI Research,Brown University",Vision,"Neural architecture search for computer vision,Image classification,Object detection,Image captioning",6.732393759822968
DistilBERT,2019-10-02,Hugging Face,Language,Text autocompletion,7.819543935541868
ALBERT,2019-09-26,"Toyota Technological Institute at Chicago,Google Research",Language,"Language modeling/generation,Question answering",7.2552725051033065
Adaptive Inputs + LayerDrop,2019-09-25,"Facebook AI Research,LORIA",Language,"Language modeling/generation,Translation,Question answering,Text summarization,Language modeling",8.626340367375043
Alleviated TOI 10 (WT103),2019-09-18,"Ecole Polytechnique F´ed´erale de Lausanne (EPFL),Swisscom,University of Freiburg",Language,Language modeling,
Alleviated TOI 10 (PTB),2019-09-18,"Ecole Polytechnique F´ed´erale de Lausanne (EPFL),Swisscom,University of Freiburg",Language,Language modeling,
Alleviated TOI 10 (WT2),2019-09-18,"Ecole Polytechnique F´ed´erale de Lausanne (EPFL),Swisscom,University of Freiburg",Language,Language modeling,
Megatron-BERT,2019-09-17,NVIDIA,Language,Language modeling/generation,9.5910646070265
Megatron-LM (8.3B),2019-09-17,NVIDIA,Language,Language modeling/generation,9.919078092376074
Hide and Seek,2019-09-17,OpenAI,Games,Hide and seek,6.204119982655925
Megatron-LM (2.5B),2019-09-17,NVIDIA,Language,Language modeling/generation,9.397940008672037
Megatron-LM (355M),2019-09-17,NVIDIA,Language,Language modeling/generation,8.550228353055093
Megatron-LM (1.2B),2019-09-17,NVIDIA,Language,Language modeling/generation,9.079181246047625
Xiaoice,2019-09-14,Microsoft Research Asia,"Language,Vision,Multimodal","Chat,Image captioning,Visual question answering,Language modeling/generation,Translation",
ResNet-152 + ObjectNet,2019-09-06,Massachusetts Institute of Technology (MIT),Vision,Object recognition,7.57978359661681
"Mogrifier (d2, MoS2, MC) + dynamic eval",2019-09-04,"DeepMind,University of Oxford",Language,Language modeling,7.544068044350276
"Mogrifier (d2, MC) + dynamic eval",2019-09-04,DeepMind,Language,Language modeling,7.380211241711606
UDSMProt,2019-09-04,Fraunhofer Heinrich Hertz Institute,Biology,"Proteins,Protein or nucleotide language model (pLM/nLM),Enzyme function prediction",7.451844746769603
"DEQ-Transformer (Medium, Adaptive Embedding)",2019-09-03,"Carnegie Mellon University (CMU),Intel Labs",Language,Language modeling,8.041392685158225
DEQ-TrellisNet (PTB),2019-09-03,"Carnegie Mellon University (CMU),Intel Labs",Language,Language modeling/generation,7.380211241711606
DEQ-TrellisNet (WT-103),2019-09-03,"Carnegie Mellon University (CMU),Intel Labs",Language,Language modeling/generation,8.255272505103306
AWD-LSTM+Behaviorial-Gating,2019-08-31,University of Southern California,Language,Language modeling,7.431363764158987
LSTM-Medium+Behaviorial-Gating (PTB),2019-08-31,University of Southern California,Language,Language modeling,7.301029995663981
trRosetta,2019-08-22,"Nankai University,University of Washington,Tianjin University,Harvard University",Biology,Protein folding prediction,
TripletRes,2019-08-13,University of Michigan,Biology,"Proteins,Protein folding prediction",
RNN + char4-MS-vec,2019-07-17,"NTT Communication Science Laboratories,Tohoku University",Language,Language modeling,8.354108439147401
Graph-based Semi-Supervised Learning (GSSL) Model on MNIST,2019-07-17,West Virginia University,Vision,Image classification,
RNN + char3-MS-vec,2019-07-16,"NTT Communication Science Laboratories,Tohoku University",Language,Language modeling,8.243038048686294
RNN Baseline,2019-07-14,"Massachusetts Institute of Technology (MIT),Rey Juan Carlos University",Language,Language modeling/generation,
R-Transformer,2019-07-12,"Michigan State University,TAL Education Group (Xueersi)",Language,Language modeling,7.198657086954422
Pluribus,2019-07-11,Facebook AI Research,Games,Poker,
All-attention network + adaptive span,2019-07-02,Facebook AI Research,Language,Language modeling/generation,8.123851640967086
RoBERTa Large,2019-07-01,"Facebook,University of Washington",Language,"Question answering,Language modeling/generation",8.550228353055093
RoBERTa Base,2019-07-01,"Facebook,University of Washington",Language,"Question answering,Language modeling/generation",8.096910013008056
Tensorized Transformer (257M),2019-06-24,"Tianjin University,Microsoft Research Asia,Beijing Institute of Technology",Language,Language modeling/generation,8.409933123331294
Tensorized Transformer (OBW),2019-06-24,"Tianjin University,Microsoft Research Asia,Beijing Institute of Technology",Language,"Language modeling,Translation",8.204119982655925
Tensorized Transformer (PTB),2019-06-24,"Tianjin University,Microsoft Research Asia,Beijing Institute of Technology",Language,"Language modeling,Translation",7.079181246047625
Tensorized Transformer (large PTB),2019-06-24,"Tianjin University,Microsoft Research Asia,Beijing Institute of Technology",Language,"Language modeling,Translation",
Tensorized Transformer (W103),2019-06-24,"Tianjin University,Microsoft Research Asia,Beijing Institute of Technology",Language,"Language modeling,Translation",7.930949031167523
Walking Minotaur robot,2019-06-19,"University of California (UC) Berkeley,Google Brain",Robotics,Animal (human/non-human) imitation,
TAPE Transformer,2019-06-19,"University of California (UC) Berkeley,Covariant,Google,Chan Zuckerberg Initiative",Biology,"Proteins,Protein or nucleotide language model (pLM/nLM)",7.57978359661681
LaNet-L (CIFAR-10),2019-06-17,"Brown University,Facebook",Vision,"Image classification,Neural Architecture Search - NAS",7.644438589467838
PG-SWGAN,2019-06-15,ETH Zurich,Image generation,Image generation,
SAGAN,2019-06-14,"Rutgers University,Google Research",Image generation,Image generation,
Char-CNN-BiLSTM,2019-06-13,Capital One,Language,Language modeling,
RNN + char2-MS-vec,2019-06-13,"NTT Communication Science Laboratories,Tohoku University",Language,Language modeling,8.198657086954423
AWD-LSTM + MoS + Partial Shuffled,2019-06-10,University of Texas at Austin,Language,Language modeling,7.544068044350276
AdvSoft + 4 layer QRNN + dynamic evaluation (WT103),2019-06-10,University of Texas at Austin,Language,"Language modeling,Translation",
Adversarial + AWD-LSTM-MoS + partial shuffled,2019-06-10,University of Texas at Austin,Language,"Translation,Language modeling",
4 layer QRNN + dynamic evaluation,2019-06-10,University of Texas at Austin,Language,"Language modeling,Translation",
Transformer-XL Large + Phrase Induction,2019-06-04,"Massachusetts Institute of Technology (MIT),University of Illinois Urbana-Champaign (UIUC)",Language,Language modeling/generation,8.409933123331294
AWD-LSTM + Phrase Induction + finetuning (PTB),2019-06-04,"Massachusetts Institute of Technology (MIT),University of Illinois Urbana-Champaign (UIUC)",Language,Language modeling/generation,7.380211241711606
VQ-VAE-2 (ImageNet),2019-06-02,Google,Image generation,Image generation,
VQ-VAE-2 (FFHQ),2019-06-02,Google,Image generation,Image generation,
XLNet,2019-06-01,"Carnegie Mellon University (CMU),Google Brain",Language,"Language modeling/generation,Question answering,Sentiment classification",8.531478917042255
DLRM-2020,2019-05-31,Facebook AI,Recommendation,Recommender system,11.0
Grover-Mega,2019-05-29,University of Washington,Language,Language modeling/generation,9.176091259055681
MnasNet-A3,2019-05-29,Google,Vision,"Image classification,Object detection",6.7160033436347994
MnasNet-A1 + SSDLite,2019-05-29,Google,Vision,"Image classification,Object detection,Neural Architecture Search - NAS",6.690196080028514
RSM,2019-05-28,Cerenaut,Language,Language modeling,
EfficientNet-B1,2019-05-28,Google,Vision,Image classification,6.892094602690481
Flow++ (CIFAR10),2019-05-15,"University of California (UC) Berkeley,Covariant",Image generation,Image generation,7.496929648073215
AWD-LSTM-DRILL + dynamic evaluation† (WT2),2019-05-14,IDIAP,Language,Language modeling,7.531478917042255
AWD-LSTM-DRILL + dynamic evaluation† (PTB),2019-05-14,IDIAP,Language,Language modeling/generation,7.380211241711606
RaptorX-Contact,2019-05-02,Toyota Technological Institute at Chicago,Biology,"Protein folding prediction,Proteins,Protein contact and distance prediction",
Neuro-Symbolic Concept Learner,2019-04-26,"Massachusetts Institute of Technology (MIT),Tsinghua University,MIT-IBM Watson AI Lab,DeepMind","Vision,Language","Visual question answering,Semantic segmentation",
MuseNet,2019-04-25,OpenAI,Audio,Audio generation,9.30929617386988
Sparse Transformer (Enwik8),2019-04-23,OpenAI,Language,Language modeling,7.977723605288848
Sparse Transformer (CIFAR10),2019-04-23,OpenAI,Image generation,Image generation,7.770852011642144
Sparse Transformer (ImageNet),2019-04-23,OpenAI,Image generation,Image generation,8.181843587944773
DANet,2019-04-21,Chinese Academy of Sciences,Vision,Semantic segmentation,
BERT-Large-CAS (PTB+WT2+WT103),2019-04-20,Amazon,Language,"Neural Architecture Search - NAS,Language modeling/generation",8.59659709562646
BERT-Large-CAS (WT103),2019-04-20,Amazon,Language,"Neural Architecture Search - NAS,Language modeling",8.531478917042255
BERT-Large-CAS (WT2),2019-04-20,Amazon,Language,"Neural Architecture Search - NAS,Language modeling",8.531478917042255
SpecAugment,2019-04-18,Google Brain,Language,Speech recognition (ASR),
LTM,2019-04-18,Murdoch University,Language,Language modeling/generation,
Transformer-XL + RMS dynamic eval,2019-04-17,University of Edinburgh,Language,Language modeling/generation,8.409933123331294
MEGNet (molecule model),2019-04-10,University of California San Diego,Materials science,Molecular property prediction,3.940516484932567
MEGNet (crystal formation energy model),2019-04-10,University of California San Diego,Materials science,Molecular property prediction,4.417106167392593
MEGNet (crystal band gap model),2019-04-10,University of California San Diego,Materials science,Molecular property prediction,4.417106167392593
MEGNet (crystal elasticity model),2019-04-10,University of California San Diego,Materials science,Molecular property prediction,4.417106167392593
True-Regularization+Finetune+Dynamic-Eval,2019-04-08,"Mobvoi,Williams College",Language,Language modeling,6.845098040014257
WeNet (PTB),2019-04-08,Amazon,Language,"Neural Architecture Search - NAS,Language modeling",7.361727836017593
WeNet (Penn Treebank),2019-04-08,Amazon,Language,"Neural Architecture Search - NAS,Language modeling",7.361727836017593
Cross-lingual alignment,2019-04-04,"Tel Aviv University,Massachusetts Institute of Technology (MIT)",Language,Translation,
FAIRSEQ Adaptive Inputs,2019-04-01,"Facebook AI Research,Google Brain",Language,Language modeling/generation,8.392696953259666
UniRep,2019-03-26,Harvard University,Biology,"Proteins,Protein or nucleotide language model (pLM/nLM)",7.260071387985075
SciBERT,2019-03-26,Allen Institute for AI,Language,"Relation extraction,Sentiment classification,Text classification,Named entity recognition (NER)",8.041392685158225
DOC + Finetune∗ + Partial Shuffle (PTB),2019-03-11,University of Washington,Language,Language modeling,
NMT Transformer 437M,2019-02-28,"Google,Bar-Ilan University",Language,Translation,8.641176546613114
KataGo,2019-02-27,Jane Street,Games,Go,6.3979400086720375
ProxylessNAS,2019-02-23,Massachusetts Institute of Technology (MIT),Vision,"Image classification,Neural Architecture Search - NAS",
SSA,2019-02-22,Massachusetts Institute of Technology (MIT),Biology,Protein embedding,
code2seq,2019-02-21,"Technion - Israel Institute of Technology,Facebook AI Research",Language,Language modeling,7.568201724066995
GPT-2 (1.5B),2019-02-14,OpenAI,Language,Language modeling/generation,9.176091259055681
GPT-2 (124M),2019-02-14,OpenAI,Language,Language modeling/generation,8.093421685162236
GPT-2 (774M),2019-02-14,OpenAI,Language,Language modeling/generation,8.888740960682892
GPT-2 (355M),2019-02-14,OpenAI,Language,Language modeling/generation,8.550228353055093
SDE,2019-02-09,"Carnegie Mellon University (CMU),Google Brain,Monash University",Language,Translation,
